,review
0,This movie deserves more than a 1. But I'm giving it a one because so many fricken fan boys have given it a 10 resulting in it getting a rating that'll take it into the top 100 list. Seriously it's no
1,"May 1938. Hitler in Italy. Preparations for historical appointment with Mussolini.Emotions , tensions and forms of self-affirmation. a empty town, a housewife and a journalist. The meeting of two diff"
2,I only recently found out that Madeleine L'Engle's novel had been turned into a TV movie by Disney and ordered the DVD. The book was a favorite of mine when I was a child and I read it several times.<
3,"An executive, very successful in his professional life but very unable in his familiar life, meets a boy with down syndrome, escaped from a residence . Both characters feel very alone, and the apparen"
4,I just finished watching the 139 min version (widescreen) with some friends and we were blown away. I won't bother repeating what others have said. What the filmmakers do with the concept is unexpecte
5,"Here's a horror version of PRISCILLA: QUEEN OF THE DESERT (they wish!) starring Melinda/Mindy (RETURN OF THE LIVING DEAD 3) Clarke as Candy, a desert dweller who pulls off a bank heist with boyfriend "
6,"We're talking about a low budget film, and it's understandable that there are some weaknesses (no spoilers: one sudden explosives expert and one meaningless alcoholic); but in general the story keeps "
7,"Frustrated middle-aged Deputy District Attorney George Maxwell (a fine performance by George E. Carey, who also produced this picture) can't stand his naggy, frigid wife Edith (a perfectly bitchy Anne"
8,I'm a Belgian and grew up in the sixties. Most of the US series were shown over here (original language with subtitles) and Batman was one of the first I was keen on. Unfortunately over here it caused
9,"I thought the racism and prejudice against Carl Brashear was grossly overdramatized for Hollywood effect. I do not believe the U. S. Navy was ever that overtly racist. I cannot imagine a full Captain,"
10,"Ok, first I have to point the fact that when I first saw this flick I was 9 years old. If I had seen this one two weeks ago for the first time, I´d probably have noted that this is just another cheapl"
11,"A killer, cannibal rapist is killed by a crazed cop on the scene of his latest murder. At his grave a cult have gathered with plans to resurrect him by peeing onto the grave. This of course works and "
12,"It's 1982, Two years after the Iranian Embassy Siege which involved the dramatic SAS Rescue from the Balconys, and with a War with Argentina over the Falkland Islands currently taking place, what bett"
13,"I rated Basic instinct 2 high, yet that movie got less than a 4 rating. This film only got a 4 from me, but it has 7.3 from over 600 people. I don't see a reason why they like this film so much.<br />"
14,"that kid a is such a babe; this movie was no Titan A.E.(of which it is in many ways modeled after) but still came off as entertaining, the fact this lost to a piece of monkey crap like Tomb raider mak"
15,"For me every piece of art is to be judged by these criteria: Form, Function and Meaning. Guernsey seems to be dedicated to forms: nice shots and sometimes interesting acting. The long close ups sugges"
16,"Cabin Fever is the first feature film directed by Eli Roth.Roth and Randy Pearlstein co wrote the script from a story by Roth.this a zombie film,which owes a lot to George Romero and his earlier ""livi"
17,"In a time of magic, barbarians and demons abound a diabolical tyrant named Nekhron and his mother Queen Juliane who lives in the realm of ice and wants to conquer the region of fire ruled by the King "
18,"OK, I am not Japanese. I do know a little about Japanese culture, and a little less about Japanese pop culture. Other than that, I am Spanish, I eat paella and I like black humor.<br /><br />Good, wit"
19,"I know that originally, this film was NOT a box office hit, but in light of recent Hollywood releases (most of which have been decidedly formula-ridden, plot less, pointless, ""save-the-blonde-chick-no"
20,"Kudos to the patience of Paul Muni, who spent hours and hours in the makeup room each day to look the part of Zola. Muni was the one of the biggest stars in the 1930s and I wonder how many people toda"
21,"The message of this movie is ""personality is more important than beauty"". Jeanine Garofalo is supposed to be the ""ugly duckling"", but the funny thing is that she's not at all ugly (actually she's a lo"
22,This is the crappiest film I have ever seen but in all fairness it's watchable and rather funny. I don't think the film-makers intended it to be your typical Hollywood blockbuster quality. It's just a
23,"Oliver Gruner is totally unknown to me. My friend showed me this film because he had seen Gruner in, what he called a pretty good sci-fi film, Nemesis. So as we watched this, we found ourselves fastfo"
24,"Well well well. As good as John Carpenter's season 1 outing in ""Masters of Horror"" was, this is the complete opposite. He certainly proved he was still a master of horror with ""Cigarette Burns"" but ""P"
25,"Twelve years ago, production stopped on the slasher flick ""Hot Blooded"" since almost everyone on the set started dying. Now, a couple of film students have decided to finish the film, despite the fact"
26,"Today I found ""They All Laughed"" on VHS on sale in a rental. It was a really old and very used VHS, I had no information about this movie, but I liked the references listed on its cover: the names of "
27,I recently viewed Manufactured Landscapes at the Seattle International Film Festival. I was drawn to the movie as a photographer because I'm both familiar and a fan of Burtynsky's work. While I believ
28,"The reviewer from Poland must be a feminist, for she finds ""Young Catherine"" to be a great film and historically accurate. Nothing could be further from the truth. As a practicing Russian historian fo"
29,I saw the movie last night and I really wanted to like it. My expectations for the movie had been going up and down ever since I heard it was being made. Some days I'd see something spectacular and so
30,I watched this on the tube last night. The actor's involved first caught my attention. The first scenes were attention getters. Some funny some sad. Good character development. I felt that the latter 
31,"I chanced upon this movie because I had a free non-new release from Blockbuster and needed to grab something quickly, as the store was getting ready to close for the evening. The plain white cover and"
