,score,review
1379,0.0001229839981533587,"One of the most common entries in the 'goofs' category is anachronism. Though I'm beginning to believe that anachronism and other goofs are more acceptable, even ignored, in very good films, but are f"
2397,0.0005105686723254621,"What was an exciting and fairly original series by Fox has degraded down to meandering tripe. During the first season, Dark Angel was on my weekly ""must see"" list, and not just because of Jessica Alba"
1709,0.0005105686723254621,"What was an exciting and fairly original series by Fox has degraded down to meandering tripe. During the first season, Dark Angel was on my weekly ""must see"" list, and not just because of Jessica Alba"
840,0.0015193030703812838,"If this guy can make a movie, then I sure as hell can make one too.<br /><br />In fact, if you hire me to make a movie for you, I promise to do the following:<br /><br />1) I will add more naked women"
2875,0.0017946765292435884,"""I thought I'd be locked away in a padded cell and they'd throw away the key"" (Thus is a paraphrased snatch of dialogue from ""State of Mind"".<br /><br />One wonders in what tangled forest Paula Milne "
330,0.00413545360788703,"After spotting the high rating on IMDb, I decided to go see this movie. Beyond that high rating, I intentionally avoided reading any of the reviews. I wanted to go into the theater with a clean slate,"
422,0.004418156109750271,"Loony Tunes have ventured (at least) twice into the future. The first time was with the brilliantly funny ""Duck Dodgers"". The latter time was with this  um  effort. ""Loonatics Unleashed"" isn't witho"
1427,0.004587716422975063,"In 1967, mine workers find the remnants of an ancient vanished civilization named Abkani that believe there are the worlds of light and darkness. When they opened the gate between these worlds ten tho"
2390,0.0066498746164143085,I really looked forward to this program for two reasons; I really liked Jan Michael Vincent and I am an aviation nut and have a serious love affair with helicopters. I don't like this program because 
1519,0.006986052729189396,"I had some expectation for the movie, since it had a nice star cast and it is the return of the duo of Akshay and Saif. Well, I was hesitant to watch the movie because this was done by the same man wh"
2391,0.007598385214805603,"I truly wish I was not writing this review. I'm a Christian, so I waited anxiously to see this movie. It seemed great -- a Christian movie with some fairly famous stars and a plot that seemed intrigui"
1547,0.008300775662064552,"Oh, well, this movie starts off well. It's kinda funny and seems like it could be a fun movie. Then it becomes a bit serious and goes off the rails. It sort of wants to be 'Boogie Nights' but it can't"
1338,0.009902829304337502,"Anyone who's watched a few Lifetime Movie Network movies knows that plot credibility is the first thing that gets brushed off the planning table. So, when crazed Lara moves into Patti's home and metho"
1696,0.010014698840677738,An unmarried woman named Stella (Bette Midler) gets pregnant by a wealthy man (Stephen Collins). He offers to marry her out of a sense of obligation but she turns him down flat and decides to raise th
1706,0.010101167485117912,Hail Bollywood and men Directors !<br /><br />Really this is the ultimate limit in utter sacrifice made by Indian Woman !!<br /><br />Viewing the current state of affairs in India where The wives are 
521,0.010419978760182858,"Henry, a veterinarian (Paul Rudd), and his bossy fiancé, Kate (Eva Longoria) are looking over the last minute arrangements for their reception. It is the morning of their wedding and Kate is in a fren"
460,0.010525979101657867,"note to George Litman, and others: the Mystery Science Theater 3000 riff is ""I don't think so, *breeder*"".<br /><br />my favorite riff is ""Why were you looking at his 'like'?"", simply for the complete"
622,0.010637021623551846,"The film begins with people on Earth discovering that their rocket to Mars had not been lost but was just drifting out in Space near out planet. When it's retrieved, one of the crew members is ill, on"
1546,0.010711108334362507,"Definitely an odd debut for Michael Madsen. Madsen plays Cecil Moe, an alcoholic family man whose life is crumbling all around him. Cecil grabs a phone book, looks up the name of a preacher, and calls"
1166,0.011470269411802292,"When Marlene Dietrich was labeled box office poison in 1938 one of a handful of actresses so named by the trades papers, it was films like The Garden Of Allah. How a film could be so breathtakingly be"
1020,0.01212644949555397,"Well where to start here? Straightheads presents me with a bit of a dilemma. Had this film come out of Italy in, say, 1975, been directed by Ruggero Deodatto and starred David Hess, then I'd be lappin"
2028,0.012884947471320629,"I think i watched this movie, but don't quote me, as i may have fallen asleep during watching it as it didn't exactly ""grip my excitement and imagination."" At least i know i watched enough of it to kn"
2908,0.013166312128305435,It's obvious that all of the good reviews posted for this movie so far are from insiders who were either involved with the film or who know somebody who knows somebody and have thus seen multiple cuts
2893,0.013276836834847927,"""The Return of Chandu"" is notable, if one can say that, for the casting of Bela Lugosi as the hero rather than the villain. Why he even gets the girl.<br /><br /> The story as such, involves the Black"
183,0.014750598929822445,"It's common practice for a film about repression to be somewhat muted in style and tone. There's a difference, however, between using restraint and encouraging narcolepsy among audience members. In ""T"
2229,0.015930021181702614,"There are similarities between Ray Lawrence's ""Jindabyne"" and his last movie ""Lantana""  a dead body and its repercussions for already dysfunctional lives. But whereas ""Lantana"" offered some hope and "
999,0.017220336943864822,"Not that I was really surprised....movies are never as good as the books that they originated from. I was looking forward to seeing this movie because this is one of my favorite books, even though I k"
2857,0.018011219799518585,"This film actually works from a fairly original idea - I've never seen nymphs that were thrown out of heaven in a horror movie before anyway. However, the way that it executes this idea isn't original"
1274,0.021701449528336525,Former brat pack actor and all round pretty boy Rob Lowe stars in a film set in a high security American prison . I had a gut feeling his character was going to be popular for all the wrong reasons li
