,score,review
510,-3.009384870529175,"Poorly cast, terrible script full of holes, hot blonde gets eaten alive, The evil scientist has a seriously nasty mustache, one man takes on a platoon of trained gunman and comes out victor, terrible "
919,-2.9997382164001465,"I'm a bit conflicted over this. The show is on one hand awful, the acting is terrible (even when we get actual name actors like Brad Pitt and Bill Moseley in one episode), the dialogue is moronic and "
255,-2.9898815155029297,"Verhoeven's movie was utter and complete garbage. He's a disgusting hack of a director and should be ashamed. By his own admission, he read 2 chapters of the book, got bored, and decided to make the w"
1774,-2.9742777347564697,"This would've been a sure fire classic had they chosen ALMOST ANYBODY ELSE for John Abraham. This guy is an awful actor. Be it comedy, drama, tear-jerkers etc. He stinks. It seemed like at some point "
1227,-2.9334094524383545,"Okay, let's face it. this is a god-awful movie. The plot (such as it is) is horrible, the acting worse. But the movie was made for one reason and one reason only, like all of those awful Mario Lanza m"
1632,-2.930999994277954,"OK, so the musical pieces were poorly written and generally poorly sung (though Walken and Marner, particularly Walken, sounded pretty good). And so they shattered the fourth wall at the end by having"
490,-2.9215574264526367,"Bad script, bad direction, over the top performances, overwrought dialogue. What more could you ask for? For laughs, it just doesn't get any better than this. Zadora's over-acting combined with the cl"
1616,-2.9171674251556396,"The main problem I see with this film is its score, which screams with every note, ""This is a cheap-ass movie."" There's not much more to say here. The score just plain sucked.<br /><br />The second pr"
1375,-2.911983013153076,"How could I possibly pass up the chance to see Orlando Bloom and Heath Ledger together? Well, I couldn't and so, I rented this mess of a movie.<br /><br />I had never heard of Ned Kelly and was surpri"
192,-2.9111227989196777,"Warning: contains a spoiler. Corny plot and in many cases terrible acting. Fontaine is great, but some others, particularly Richard Ney, Ivy's husband, are exceedingly wooden. Ney lies in bed, dying o"
1358,-2.8926806449890137,"Ernest Borgnine was so wasted in this movie.There was no point in putting this great actor in this movie.One of the greatest actors in the world wasted,and for what reason, none what so ever,so americ"
1870,-2.884615421295166,"On paper, this movie would sound incredibly boring. The idea of a 75-year-old man traveling the country-side on a riding mower certainly doesn't have much appeal to it, but the real power behind the f"
261,-2.873772621154785,"Yeah, the poster is quite a horrible piece of work.<br /><br />I thought the movie was OK...nothing really outstanding...I just was hoping that he would be a hardcore druggie and totally trash his lif"
1106,-2.857314109802246,"I've read some terrible things about this film, so I was prepared for the worst. ""Confusing. Muddled. Horribly structured."" While there may be merit to some of these accusations, this film was nowhere"
628,-2.845604419708252,"most of the bad reviews on this website blame ""Hood of the Living Dead"" for one (or more) of the following reasons: 1) it is a low-budget movie with virtually no acting; 2) it was so bad it made me la"
711,-2.80981707572937,"ATTENTION, SPOILER!<br /><br />Many people told me that «Planet of the Apes» was Tim Burton's worst movie and apart from that much weaker than the original film. So I decided not to see it. Another fr"
1235,-2.8058958053588867,"Johnny Dangerously falls completely in the hit or miss category with it's overblown gags and complete lack of a comprehensive script or story that makes ANY sense. But that's the point, right?<br /><b"
888,-2.792475461959839,"For anyone who may not know what a one-actor movie was like, this is the best example. This plot is ridiculous, and really makes no sense. It's full of cliched situations, hackneyed lines, melodrama, "
868,-2.787827491760254,Hrm-I think that line was from the old movie posters.<br /><br />This is a dumb movie that seems to have been translated from some language that was totally unfamiliar to the translator. Here's a tip:
1650,-2.7842538356781006,"The first 50 minutes of this movie were quite boring. It focused on the personal problems Doyle had, including his sick wife, death threats by fans, a pushy publisher and feelings of guilt concerning "
974,-2.7771904468536377,"Plot is never the strong point of a Fred Astaire and Ginger Rogers movie, but ""Follow the Fleet""'s screenplay is exceptionally mediocre. Fred and Ginger still come off all right--they play ""Bake"" Bake"
1326,-2.7731359004974365,"I have to admit that for the first half hour or so of this movie I was basically lost. There had been some mildly amusing humour, but at best a barebones plot and a general sense of pointlessness that"
1013,-2.7685530185699463,"I saw ZP when it was first released and found it a major disappointment. Its script seemed forced and arch and too fakey '60s. It's politics too upfront and ridiculous. And let's face it, I was still "
1417,-2.767910957336426,"This movie is horrible- in a 'so bad it's good' kind of way.<br /><br />The storyline is rehashed from so many other films of this kind, that I'm not going to even bother describing it. It's a sword/s"
487,-2.762904405593872,What could be more schlocky than the idea of private detectives getting involved with the women they're supposed to be spying on? And most of the dialogue as written is perfectly banal.<br /><br />But
1367,-2.7588884830474854,"Cinematically, this film stinks. So does a lot of the acting. But I<br /><br />don't care. If there is a strong representation of what the 80's were<br /><br />like(For a lot of us in the innercity an"
864,-2.74941086769104,Good for an evening's entertainment - but the plot was unconvincing. Garrison's affair with the First Lady was unreal and passionless; the President was a cardboard cut-out. And who were the real vill
307,-2.733922243118286,"OK, this movie starts out like a cheesy Lifetime movie and doesn't get better till almost well through the movie. The script is full of 'cheese' and 'fluff' and cast is not well directed for the most "
1465,-2.73127818107605,"Sure it was well shot and made, very well shot and made! But the story was just so weak. And the portrayal of Lincoln was even weaker. Not that Henry Fonda wasn't good but the character he played was "
581,-2.7254295349121094,"I am quite the Mitchell Leisen fan so it was a great anticipation that I rented this movie but the print I got was extremely bad, so worn down from use and scorched seemingly beyond repair, the movie "
808,-2.70733380317688,"I've read one comment which labeled this film ""trash"" and ""a waste<br /><br />of time."" I think this person got their political undies tugged a bit<br /><br />too much.<br /><br />I just rented the ne"
1071,-2.707050085067749,"I always have a bit of distrust before watching the British period films because I usually find on them insipid and boring screenplays (such as the ones of, for example, Vanity Fair or The Other Boley"
1438,-2.692572832107544,"This has some excellent spots but the length of the film can not sustain the wafer thin plot. It is another sailors on leave film, zippier than Astaire's 'Follow the Fleet' but not as good as 'On The "
1012,-2.689850330352783,The photography of this bid-budget production is surprisingly bad. Colors are muddy and brownish and the photography has very 80ish look to it. Direction and editing are often quite uninspired and TV-
1773,-2.6854746341705322,"I admit that for the first 20 minutes or so of this film I wasn't entirely sure I was going to sit through the whole thing. Like many other people, I found it pretty boring, and I wasn't entirely look"
714,-2.6839349269866943,"I don't want to spend to long here rambling about the plot- you've seen the trailer, and if you haven't its online. I don't recommend seeing it though- it was poorly crafted and didn't pack any of the"
411,-2.6722910404205322,"I'm disappointed that Reiser (who wrote the film) felt the need to use so much profanity for no reason whatsoever. Maybe that's his idea of ""adult"" films, plenty of nasty words with bathroom humor thr"
273,-2.6710948944091797,"WWE has produced some of the worst pay-per-views in its history over the past few months. Cyber Sunday, Survivor Series and December to Dismember were appalling to say the least and so it was relying "
2001,-2.670504570007324,"This Wrestlemania just didn't do it for me. While some things, such as the battle royal and involvement of celebrities were a throwback to the good old days, so to speak, it seemed to be more of a hig"
607,-2.6606545448303223,"There is indeed much to complain about this movie version of Molnar's mystical play --Farrell looks good in his title role, but his line readings, frankly, stink. This also suffers, in large part, fro"
1539,-2.6593685150146484,"I was not expecting the powerful filmmaking experience of ""Girlfight"". It's an Indie; low-budget, no big-name actors, freshman director. I had heard it was good, but not this good.<br /><br />Placed i"
1197,-2.6514790058135986,I can honestly say I never expected this movie to be good. I do not like family films. I am far from a fan of Shahid Kapoor. The director's last movie (MPKDH was complete stupidity. And the music was 
764,-2.6493988037109375,"When I think of the cheesiest guilty pleasure-type movies, the first thing I think of are '80s slasher flicks. Really bad slasher flicks. The formulaic type of film, where all a script needed was 2 pa"
98,-2.6408920288085938,"Found this flick in a videostore, it cost $2 to buy. The whole movie stinks really bad! The so-called colonel, who would the hero here if the cover could have been trusted, must be in his eighties and"
1878,-2.63169264793396,"So many educational films are nothing more than mind-numbing drudgery, saved only by the fact that ""MST3K"" mocks them (""Why Study Industrial Arts?"" comes to mind). ""Hemo the Magnificent"" is actually q"
1864,-2.6297767162323,An imagination is a terrible thing to waste ... especially when you have talented actors. Writer/Director Jones wastes no time in siding the viewer with his protagonist. <br /><br />Anyone who has sha
1116,-2.628300666809082,"Scream was Wes Craven's last decent thriller. Since then there has been nothing but an unbearable streak of Hollywood trash barely good enough for a blockbuster night, including the disappointment of "
444,-2.6223292350769043,"But the opposite, sorry bud, i completely understand how you can be dragged into a film because you relate to the subject ( and you have). This film is terrible, the main character would give any char"
1880,-2.618553400039673,"Can such an ambient production have failed its primary goal, which was to correctly adapt Allende's novel? Obviously yes. Bille August managed to make a superficial, shallow film where basic elements "
1263,-2.6116137504577637,"These guys are anything but the Usual Suspects! They are a total bunch of likeable oddballs who you want to see get away with it,but they are so hapless that there is very little chance of that.No one"
1095,-2.606106758117676,"This film Evil Breed: The legend of samhain contains very little thought or effort. It is ridiculed with specs of ultra fast ""slasher"" style death and plain disgusting acts of death. The acting was ra"
360,-2.6051464080810547,"Above-average film and acting partly spoiled by its completely predictable story line. Even the music is chosen so that the words fit the action every time. A scent of ""Pleasantville"" camp hangs aroun"
644,-2.6034719944000244,I have read many comments on this site criticizing The Blob for being cheesy and or campy. The movie has been faulted for amateurish acting and weak special effects. What would you expect from a group
1838,-2.600745916366577,"Financially strapped Paramount pulled out all the stops for this '34 stage adaptation entry: big budget, large cast, extravagant production and Mitch Leisen tagged as the director. What happened? Two "
1542,-2.5956921577453613,Manhattan apartment dwellers have to put up with all kinds of inconveniences. The worst one is the lack of closet space! Some people who eat out all the time use their ranges and dishwashers as storag
1694,-2.591655969619751,"... Hawk Heaven for lovers of French cinema and by extension French Screen actors/actresses. At its worst it's an indulgence, actors getting to bitch about other actors, question the validity of actin"
554,-2.57993483543396,"Preminger's adaptation of G. B. Shaw's ''Saint Joan''(screenplay by Graham Greene) received one of the worst critical reactions in it's day. It was vilified by the pseudo-elite, the purists and the au"
593,-2.5794174671173096,"FORGET CREDIBILITY<br /><br />You must not expect credibility with action movies where the superhero has to perform an endless string of unbelievable feats, being trodden upon in the process but recov"
1037,-2.5764000415802,"Do NOT judge this production by the 2-hour version that was released on VHS in the US, which is a choppy and incomprehensible mess. I had the pleasure of watching the full-length 6-hour version availa"
1313,-2.573331832885742,Trawling through the Sci Fi weeklies section of the local Video Rentals store I was losing hope of finding any good movies I hadn't yet seen. Renting Cypher was like a punt on a possibly very lame hor
781,-2.569464921951294,"I collect Horror films from all over and I have seen the good and the very bad - Zombie Bloodbath is a low budget video. Sure, the acting is bad, the storyline is basically a mix of all zombie movies "
355,-2.5591158866882324,When I rented Domino I was expected it to be very dumb. I hate films that have really flashy editing and cinematography and Domino also just got very bad reviews. The only reason I watched it is becau
141,-2.5546348094940186,I have no idea why this flick is getting such a bad rap by so many IMDb users (Some are saying it's his 'worst movie ever.' What?? Haven't any of you seen Cradle 2 The Grave?) My favorite criticism is
715,-2.5531489849090576,"Most 70s (and 80s) Kong Kong martial arts films barely function as movies; usually there are a few well-planned fight sequences, but the plot is scraped pretty thin to fill in the gaps between those n"
1746,-2.548870325088501,"After ""A Dirty Shame"", I never thought that I was going to see another John Waters movie. That movie was really so bad, that I was convinced that all his movies would be like that. But when the DVD of"
2022,-2.5482535362243652,"I can't say that this film deserves anywhere near the amount of vitriol being heaped on it by some reviewers. Yes, it's bogged down by an overly-padded running time, hamfisted editing, and an overreli"
1221,-2.546107292175293,"This final entry in George Lucas's STAR WARS movies is often regarded as the weakest of the lot. However, this is not to say that it is a totally worthless entry in the series. On the contrary. Sure, "
160,-2.546086549758911,I have to agree with most of the other posts. Was it a comedy? a drama? to me it leaned a little to much towards the comedy side. I could have been a great movie without the comedy and it was horribly
1107,-2.5433759689331055,"(No spoilers, just plot details) I can't understand such hatred for this episode. You want to watch a bad episode of Smallville? Watch Subterranean - now there's a sack of crap. Tom Welling gives a go"
